camarao;camarone
salmao;salmon
lagosta;langosta
sardinha;sardina
gato;gato
rato;raton
urso;oso
zebra;cebra
vaca;vaca
tigre;tigre
macaco;mono
baleia;ballena
ovelha;oveja
porco;cerdo
leao;leon
elefante;elefante
girafa;jirafa
coelho;conejo
canguru;canguro
cachorro;perro
morcego;murcielago
onca;jaguar
pato;pato
galo;gallo
aguia;aguila
gaivota;gaviota
cobra;serpiente
boi;buey
peixe;pescado
pantera;pantera
tartaruga;tortuga
cavalo;caballo
camaleao;camaleon
tatu;armadillo
borboleta;mariposa
formiga;hormiga
abelha;abeja
grilo;grillo
aranha;arana
sapo;sapo
