mao;mano
ombro;hombro
testa;frente
pescoco;cuello
unhas;unas
dedo;dedo
punho;puno
cotovelo;codo
peito;pecho
coxa;muslo
joelho;rodilla
perna;pierna
panturrilha;pantorrilla
tornozelo;tobillo
pe;pie
nadega;nalga
braco;brazo
antebraco;antebrazo
cerebro;cerebro
coracao;corazon
estomago;estomago
rim;rinon
garganta;garganta
bexiga;vejiga
intestino;intestino
figado;higado
cranio;craneo
quadril;cadera
osso;hueso
olho;ojo
dentes;dientes
lingua;lengua
orelha;oreja
cabeca;cabeza
peito;pecho
nariz;nariz
pulmao;pulmon
pele;piel
sobrancelhas;cejas
