professor;maestro
cantor;cantante
padeiro;panadero
juiz;juez
jornalista;periodista
pedreiro;albanil
cabeleireiro;peluquero
estudante;estudiante
motorista;conductor
cozinheiro;cocinero
encanador;fontanero
bombeiro;bombero
acougueiro;carnicero
macanico;mecanico
policia;policia
advogado;abogado
engenheiro;ingeniero
arquiteto;arquitecto
ator;actor
banqueiro;banquero
carteiro;cartero
chefe;jefe
dentista;dentista
diretor;director
enfermero;enfermero
escritor;escritor
garcom;mesero
jardineiro;jardinero
medico;medico
porteiro;portero
prefeito;alcade
tradutor;traductor
modelo;modelo
eletricista;electricista
recepsionista;recepsionista
taxista;taxista
sapateiro;zapatero
guarda;guardia
gari;basurero
faxineira;asistenta
estagiario;pasante
aeromoca;azafata
