trazer;traer
ouvir;oir
cair;caer
oferecer;ofrecer
conhecer;conocer
crescer;crecer
caber;caber
dizer;decir
ajudar;ayudar
demolir;abatir
enfeitar;adornar
excitar;alborotar
apoiar;apoyar
arranhar;aranar
abaixar;bajar
beijar;besar
brilhar;brillar
trocar;cambiar
cacar;cazar
cessa;cesar
escovar;cepillar
esclarecer;clarificar
colorir;colorear
colher;coger
flertar;coquetear
ranger;crujir
cobrir;cubrir
dancar;danzar
dedicar;dedicar
dever;deber
deixar;dejar
gostar;gustar
denunciar;denunciar
depositar;depositar
derrubar;derribar
destinar;destinar
desculpar;disculpar
demitir;dimitir
dobrar;doblar
doar;donar
embarcar;embarcar
adoecer;enfermar
engraxar;engrasar
ensinar;ensenar
escutar;escuchar
esperar;esperar
abandonar;abandonar
envolver;abarcar
aborrecer;aburrir
aconselhar;aconsejar
acostumar;acostubrar
avancar;adelantar
anexar;adjuntar
coletar;juntar
afogar;ahogar
desenhar;dibujar
duvidar;dudar
gaguejar;tartamudear
transacionar;tramitar
tecer;tejer
castigar;castigar
explorar;explotar
surpreender;pasmar
ousar;osar
esquecer;olvidar
avaliar;evaluar
colecionar;coleccionar
classificar;clasificar
citar;citar
espalhar;untar
apresentar;exhibir
pegar;coger
comer;comer
evitar;evitar
substituir;sustituir
suar;sudar
soprar;soplar
chorar;llorar
preencher;llenar
chamar;llamar
foder;follar
prazer;placer
nascer;nacer
moer;moler
soldar;soldar
sonhar;sonar
brilhar;lucir
depor;deponer
apertar;apretar
governar;gobernar
